NHGISCODE,GJOIN1970,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,B18AA1970,B18AB1970,B18AC1970,B18AD1970
"G0100030010100","G01000300101","Alabama","01","010","Baldwin County","003","0030","010100","Tract  101",2004,1460,6,0
"G0100030010200","G01000300102","Alabama","01","010","Baldwin County","003","0030","010200","Tract  102",1645,101,11,0
"G0100030010300","G01000300103","Alabama","01","010","Baldwin County","003","0030","010300","Tract  103",2062,544,4,0
"G0100030010400","G01000300104","Alabama","01","010","Baldwin County","003","0030","010400","Tract  104",2004,248,1,0
"G0100030010500","G01000300105","Alabama","01","010","Baldwin County","003","0030","010500","Tract  105",3431,297,10,5
"G0100030010600","G01000300106","Alabama","01","010","Baldwin County","003","0030","010600","Tract  106",2005,979,0,0
"G0100030010700","G01000300107","Alabama","01","010","Baldwin County","003","0030","010700","Tract  107",4266,1804,4,5
"G0100030010800","G01000300108","Alabama","01","010","Baldwin County","003","0030","010800","Tract  108",1356,1019,4,3
"G0100030010900","G01000300109","Alabama","01","010","Baldwin County","003","0030","010900","Tract  109",7614,609,19,15
"G0100030011000","G01000300110","Alabama","01","010","Baldwin County","003","0030","011000","Tract  110",1556,225,8,4
"G0100030011100","G01000300111","Alabama","01","010","Baldwin County","003","0030","011100","Tract  111",2262,801,5,1
"G0100030011200","G01000300112","Alabama","01","010","Baldwin County","003","0030","011200","Tract  112",5250,452,2,16
"G0100030011300","G01000300113","Alabama","01","010","Baldwin County","003","0030","011300","Tract  113",1512,259,1,1
"G0100030011400","G01000300114","Alabama","01","010","Baldwin County","003","0030","011400","Tract  114",6162,856,6,24
"G0100030011500","G01000300115","Alabama","01","010","Baldwin County","003","0030","011500","Tract  115",2627,739,1,1
"G0100030011600","G01000300116","Alabama","01","010","Baldwin County","003","0030","011600","Tract  116",2894,176,2,4
"G0100330020100","G01003300201","Alabama","01","010","Colbert County","033","0330","020100","Tract  201",4961,197,4,1
"G0100330020199","G0100330020199","Alabama","01","010","Colbert County","033","0330","020199","Tract  201.99",11,0,0,0
"G0100330020200","G01003300202","Alabama","01","010","Colbert County","033","0330","020200","Tract  202",2553,107,12,1
"G0100330020300","G01003300203","Alabama","01","010","Colbert County","033","0330","020300","Tract  203",1603,2222,0,5
"G0100330020400","G01003300204","Alabama","01","010","Colbert County","033","0330","020400","Tract  204",1452,0,0,1
"G0100330020500","G01003300205","Alabama","01","010","Colbert County","033","0330","020500","Tract  205",4654,345,0,1
"G0100330020600","G01003300206","Alabama","01","010","Colbert County","033","0330","020600","Tract  206",2624,1737,1,3
"G0100330020700","G01003300207","Alabama","01","010","Colbert County","033","0330","020700","Tract  207",8233,866,0,9
"G0100330020800","G01003300208","Alabama","01","010","Colbert County","033","0330","020800","Tract  208",5501,1793,1,5
"G0100330020900","G01003300209","Alabama","01","010","Colbert County","033","0330","020900","Tract  209",5604,593,2,1
"G0100330021000","G01003300210","Alabama","01","010","Colbert County","033","0330","021000","Tract  210",3909,620,0,0
"G0100510010100","G01005100101","Alabama","01","010","Elmore County","051","0510","010100","Tract  101",3759,1205,0,6
"G0100510010200","G01005100102","Alabama","01","010","Elmore County","051","0510","010200","Tract  102",1181,495,2,2
"G0100510010300","G01005100103","Alabama","01","010","Elmore County","051","0510","010300","Tract  103",2487,515,0,1
"G0100510010400","G01005100104","Alabama","01","010","Elmore County","051","0510","010400","Tract  104",6024,2876,5,2
"G0100510010500","G01005100105","Alabama","01","010","Elmore County","051","0510","010500","Tract  105",3217,2207,0,7
"G0100510010600","G01005100106","Alabama","01","010","Elmore County","051","0510","010600","Tract  106",2901,885,0,0
"G0100510010700","G01005100107","Alabama","01","010","Elmore County","051","0510","010700","Tract  107",4476,1271,4,7
"G0100550000100","G01005500001","Alabama","01","010","Etowah County","055","0550","000100","Tract    1",467,133,0,3
"G0100550000200","G01005500002","Alabama","01","010","Etowah County","055","0550","000200","Tract    2",3406,1137,0,6
"G0100550000300","G01005500003","Alabama","01","010","Etowah County","055","0550","000300","Tract    3",122,5030,1,0
"G0100550000400","G01005500004","Alabama","01","010","Etowah County","055","0550","000400","Tract    4",4563,22,1,1
"G0100550000500","G01005500005","Alabama","01","010","Etowah County","055","0550","000500","Tract    5",3121,17,1,2
"G0100550000600","G01005500006","Alabama","01","010","Etowah County","055","0550","000600","Tract    6",3669,117,1,1
"G0100550000700","G01005500007","Alabama","01","010","Etowah County","055","0550","000700","Tract    7",1986,0,0,0
"G0100550000800","G01005500008","Alabama","01","010","Etowah County","055","0550","000800","Tract    8",1913,588,0,4
"G0100550000900","G01005500009","Alabama","01","010","Etowah County","055","0550","000900","Tract    9",4203,414,5,1
"G0100550001000","G01005500010","Alabama","01","010","Etowah County","055","0550","001000","Tract   10",1913,530,0,5
"G0100550001100","G01005500011","Alabama","01","010","Etowah County","055","0550","001100","Tract   11",3129,6,0,13
"G0100550001200","G01005500012","Alabama","01","010","Etowah County","055","0550","001200","Tract   12",3318,7,0,8
"G0100550001300","G01005500013","Alabama","01","010","Etowah County","055","0550","001300","Tract   13",3405,0,1,0
